Please ONLY fill out this survey if you are a current freshman.,Blocking group size,Adams,Cabot,Currier,Dunster,Eliot,Kirkland,Leverett,Lowell,Mather,Pfoho,Quincy,Winthrop,Gender:,Ethnicity,Dorm:,Anticipated Concentration (select all that apply),Are you an athlete?
I am currently a freshman at Harvard.,7,6,11,12,8,3,7,5,1,9,10,4,2,Male,White,Wigglesworth,"Astrophysics,Earth and Planetary Sciences,    Physics",No
I am currently a freshman at Harvard.,8,2,12,11,5,3,8,4,7,6,10,1,9,Male,"White,Hispanic or Latino",Straus,    Physics,No
I am currently a freshman at Harvard.,5,7,11,10,8,4,12,6,1,2,9,3,5,Male,Hispanic or Latino,Wigglesworth,Anthropology,No
I am currently a freshman at Harvard.,3,3,6,1,7,8,9,4,2,5,10,11,12,Male,Hispanic or Latino,Straus,Government,No
I am currently a freshman at Harvard.,6,7,10,9,8,3,6,12,2,5,11,1,4,Male,Hispanic or Latino,Wigglesworth,Economics,No
I am currently a freshman at Harvard.,7,4,10,11,6,2,8,7,1,9,12,5,3,Female,White,Wigglesworth,Economics,No
I am currently a freshman at Harvard.,6,8,12,10,1,4,3,2,6,5,11,7,9,Female,"White,Hispanic or Latino",Wigglesworth,Economics,No
I am currently a freshman at Harvard.,3,1,7,5,4,9,10,12,2,8,6,11,3,Male,"White,Asian",Canaday,History,No
I am currently a freshman at Harvard.,8,5,9,10,4,6,12,8,1,7,11,2,3,Female,Asian,Canaday,Classics,No
I am currently a freshman at Harvard.,5,1,10,12,4,2,9,6,3,7,11,8,5,Female,White,Canaday,"Government,History",No
I am currently a freshman at Harvard.,5,1,11,12,7,6,2,8,5,9,10,4,3,Male,White,Wigglesworth,    Social Studies,No
I am currently a freshman at Harvard.,6,9,8,12,4,10,11,5,2,7,6,1,3,Male,White,Canaday,"Engineering Sciences,Environmental Science and Engineering",No
I am currently a freshman at Harvard.,8,5,10,12,3,2,6,8,4,9,11,7,1,Male,Asian,Canaday,Economics,No
I am currently a freshman at Harvard.,8,4,12,9,3,7,6,10,1,8,11,5,2,Male,Asian,,History,Yes
I am currently a freshman at Harvard.,3,4,9,10,3,6,7,11,8,5,12,1,2,Female,Asian,Canaday,Uncertain,No
I am currently a freshman at Harvard.,7,4,12,10,5,8,7,9,1,3,11,2,6,Male,Hispanic or Latino,Wigglesworth,Computer Science,No
I am currently a freshman at Harvard.,7,5,12,11,2,6,9,7,4,8,10,3,1,Male,Hispanic or Latino,Canaday,    Neurobiology,No
I am currently a freshman at Harvard.,8,4,11,10,8,6,7,5,1,9,12,2,3,Male,Asian,Canaday,Economics,No
I am currently a freshman at Harvard.,3,5,10,11,6,8,9,7,4,1,12,2,3,Female,Middle Eastern or North African,Pennypacker,Uncertain,No
I am currently a freshman at Harvard.,4,1,8,2,4,7,5,3,11,9,6,10,12,Female,White,Canaday,    Molecular and Cellular Biology,No
I am currently a freshman at Harvard.,6,2,8,10,9,3,12,6,1,4,11,5,7,Female,"White,Hispanic or Latino",Greenough,Government,No
I am currently a freshman at Harvard.,7,8,4,5,1,10,11,7,3,12,6,9,2,Male,Asian,Canaday,    Mechanical Engineering,No
I am currently a freshman at Harvard.,6,9,11,12,4,6,8,5,1,7,10,3,2,Male,Hispanic or Latino,Straus,"Economics,History of Art and Architecture",No
I am currently a freshman at Harvard.,6,6,12,11,3,8,7,9,2,5,10,4,1,Female,White,Canaday,Biomedical Engineering,Yes
I am currently a freshman at Harvard.,8,8,12,11,7,2,9,6,4,1,10,5,3,Female,"White,Hispanic or Latino",Canaday,"Applied Mathematics,Economics",Yes
I am currently a freshman at Harvard.,5,4,12,11,3,7,9,8,2,5,10,6,1,Male,"White,Asian",Greenough,Economics,No
I am currently a freshman at Harvard.,8,2,4,6,11,8,9,10,1,12,7,5,3,Male,Asian,Straus,"Applied Mathematics,Economics",No
I am currently a freshman at Harvard.,8,8,12,10,5,4,9,7,1,6,11,3,2,Female,Other,Canaday,Government,No
I am currently a freshman at Harvard.,1,1,2,7,4,8,9,5,6,3,12,10,11,Female,White,Canaday,History,No
I am currently a freshman at Harvard.,6,7,10,8,4,9,11,6,1,3,12,5,2,Male,"White,Asian",Lionel,    Statistics,No
I am currently a freshman at Harvard.,8,3,8,9,7,11,12,6,1,5,10,4,2,Female,Black or African American,Straus,Computer Science,No
I am currently a freshman at Harvard.,3,12,1,2,4,9,10,5,6,7,3,11,8,Male,White,Canaday,    Physics,Yes
I am currently a freshman at Harvard.,8,2,10,12,5,1,6,7,3,8,11,9,4,Female,White,Greenough,Environmental Science and Engineering,Yes
